Listening to port 4567
Connected!!!
0.1 250.411 -19.554 3.03749
0.1 249.403 -18.7989 2.99244
0.1 248.285 -18.8513 2.97998
0.1 247.53 -19.0409 2.96152
0.1 246.806 -18.9696 2.94969
0.1 246.059 -18.4804 2.93543
0.1 245.206 -18.3971 2.92491
0.1 244.472 -18.1569 2.92386
0.1 243.918 -18.1781 2.91955
0.1 242.933 -17.9908 2.91289
0.1 242.09 -17.8312 2.91716
0.1 241.154 -17.5343 2.91467
0.1 240.467 -16.8693 2.92013
0.1 239.605 -17.3635 2.92009
0.1 238.608 -16.5409 2.90264
0.1 237.084 -15.8923 2.89774
0.1 236.218 -15.6767 2.90361
0.1 235.423 -15.5219 2.89992
0.1 234.343 -15.6653 2.90683
0.1 233.522 -15.3826 2.90409
0.1 232.61 -15.1321 2.90285
0.1 231.98 -14.8199 2.91314
0.1 230.887 -15.0348 2.91891
0.1 229.483 -14.3549 2.91511
0.1 228.98 -14.1887 2.91121
0.1 227.932 -13.8672 2.91159
0.1 226.959 -13.7683 2.92383
0.1 226.383 -13.762 2.9373
0.1 224.982 -12.8887 2.92651
0.1 224.15 -13.1683 2.92193
0.1 223.125 -13.0552 2.93981
0.1 221.596 -12.794 2.94508
0.1 220.529 -12.7456 2.94503
0.1 219.956 -12.2874 2.95867
0.1 218.901 -11.7112 2.96769
0.1 217.385 -11.7829 2.9721
0.1 216.462 -11.4262 2.97487
0.1 215.908 -11.4411 2.98861
0.1 214.532 -11.7572 2.99488
0.1 213.37 -11.6776 2.99775
0.1 212.32 -11.5729 3.01192
0.1 211.022 -11.4965 3.01533
0.1 210.864 -11.2934 3.0179
0.1 209.272 -11.2922 3.03543
0.1 208.17 -10.5513 3.03409
0.1 207.024 -11.1022 3.05364
0.1 205.868 -10.6327 3.05505
0.1 204.467 -11.0409 3.06024
0.1 203.699 -10.6085 3.06588
0.1 202.385 -10.6776 3.06843
0.1 201.522 -10.7262 3.0851
0.1 200.435 -10.5561 3.09177
0.1 199.244 -10.4305 3.10335
0.1 198.01 -10.828 3.094
0.1 196.804 -10.7192 3.10866
0.1 195.82 -10.8335 3.11583
0.1 195.125 -10.3539 3.1365
0.1 194.087 -10.6832 3.13885
0.1 192.634 -10.5195 3.15425
0.1 191.537 -10.7108 3.15391
0.1 190.61 -10.3521 3.15728
0.1 189.776 -10.2007 3.15692
0.1 188.539 -10.4656 3.1698
0.1 187.511 -10.605 3.1749
0.1 185.61 -10.7661 3.16832
0.1 184.397 -10.7752 3.16882
0.1 183.421 -10.5548 3.17766
0.1 182.437 -10.7689 3.18645
0.1 181.293 -10.8859 3.20362
0.1 180.092 -10.7561 3.20751
0.1 178.987 -10.7078 3.21025
0.1 177.768 -10.6326 3.22282
0.1 176.468 -10.9527 3.21456
0.1 175.396 -11.1802 3.22955
0.1 174.215 -11.3968 3.23252
0.1 172.969 -11.3324 3.23217
0.1 172.081 -11.5759 3.24526
0.1 171.121 -11.9141 3.25713
0.1 169.991 -11.9158 3.25187
0.1 168.302 -11.7575 3.25074
0.1 167.375 -12.2543 3.2523
0.1 166.373 -12.3708 3.26276
0.1 165.55 -12.5906 3.26802
0.1 164.179 -12.7665 3.28337
0.1 163.373 -13.1678 3.28676
0.1 162.033 -12.559 3.27894
0.1 161.09 -13.0729 3.30165
0.1 160.132 -13.3174 3.31795
0.1 158.878 -13.7982 3.308
0.1 157.548 -13.925 3.30136
0.1 156.727 -14.2981 3.31746
0.1 155.4 -14.0295 3.32346
0.1 154.138 -14.3091 3.32066
0.1 153.441 -14.5673 3.33575
0.1 152.064 -14.8808 3.33567
0.1 150.675 -14.9388 3.34209
0.1 150.024 -15.2467 3.34693
0.1 148.849 -14.9431 3.35516
0.1 148.091 -15.2134 3.3541
0.1 146.723 -15.8181 3.36195
0.1 145.305 -16.2111 3.35988
0.1 144.777 -16.264 3.37428
0.1 142.935 -16.8347 3.36434
0.1 142.195 -16.9736 3.36453
0.1 140.956 -16.9644 3.37315
0.1 139.912 -17.1806 3.36395
0.1 138.929 -17.5138 3.36496
0.1 137.768 -18.4543 3.359
0.1 136.88 -18.5187 3.3593
0.1 135.252 -18.4723 3.36828
0.1 134.292 -18.864 3.376
0.1 133.087 -18.7194 3.37734
0.1 132.076 -19.0734 3.37475
0.1 130.654 -19.6061 3.37199
0.1 129.706 -19.5263 3.36467
0.1 129.004 -19.7925 3.37068
0.1 127.913 -20.0148 3.38306
0.1 126.675 -20.3476 3.38827
0.1 125.542 -20.6827 3.38202
0.1 124.696 -20.7043 3.38461
0.1 123.776 -20.9761 3.39135
0.1 122.398 -21.2647 3.39338
0.1 121.683 -21.5259 3.4058
0.1 120.221 -21.9788 3.39303
0.1 119.279 -22.2961 3.39159
0.1 117.757 -22.4925 3.38572
0.1 116.758 -22.9157 3.39047
0.1 115.511 -23.3441 3.38987
0.1 114.586 -23.0145 3.40703
0.1 113.356 -23.2026 3.39401
0.1 112.449 -23.7963 3.41802
0.1 111.755 -24.0759 3.4087
0.1 110.321 -24.3388 3.4093
0.1 109.813 -24.8134 3.4143
0.1 109.121 -25.2062 3.422
0.1 107.67 -25.232 3.41943
0.1 107.133 -25.4748 3.44936
0.1 105.947 -26.4049 3.45548
0.1 105.041 -26.4508 3.46403
0.1 103.706 -26.6489 3.46856
0.1 102.925 -27.1397 3.46425
0.1 101.905 -27.3453 3.46886
0.1 100.786 -27.534 3.47375
0.1 99.9793 -28.1154 3.48686
0.1 98.6015 -28.6095 3.49384
0.1 97.8257 -28.8423 3.49643
0.1 96.7752 -29.1626 3.49901
0.1 95.6387 -29.6677 3.50833
0.1 94.7461 -30.072 3.51027
0.1 94.1999 -30.4467 3.52119
0.1 93.1795 -30.4187 3.52606
0.1 92.0793 -30.9366 3.54184
0.1 91.1349 -31.3142 3.54792
0.1 90.4568 -32.3134 3.54796
0.1 89.3595 -32.7713 3.55446
0.1 88.8293 -33.2191 3.56029
0.1 87.8867 -33.9431 3.57145
0.1 87.2258 -34.1216 3.58361
0.1 85.9573 -34.3173 3.59554
0.1 84.8891 -34.6742 3.62006
0.1 83.7045 -35.0567 3.6289
0.1 82.7122 -35.6589 3.63815
0.1 81.613 -36.3745 3.65031
0.1 80.7515 -37.2469 3.66133
0.1 80.0093 -37.5128 3.67364
0.1 78.7085 -37.8116 3.68263
0.1 78.0648 -38.6032 3.69945
0.1 77.0192 -39.5314 3.70436
0.1 75.8216 -39.3947 3.7219
0.1 75.112 -40.1326 3.7367
0.1 74.0466 -40.8849 3.74682
0.1 73.3739 -41.0499 3.77344
0.1 72.4378 -41.9273 3.77836
0.1 71.7836 -42.9067 3.77694
0.1 71.0219 -43.3492 3.81208
0.1 70.3482 -43.9442 3.82399
0.1 69.3416 -44.8009 3.84346
0.1 68.5555 -45.7388 3.85715
0.1 67.8671 -46.0774 3.86066
0.1 67.188 -46.7872 3.87969
0.1 66.4617 -47.21 3.88072
0.1 65.5802 -48.1 3.87411
0.1 64.3269 -49.2125 3.87866
0.1 63.4306 -49.9307 3.88348
0.1 62.7289 -50.992 3.88746
0.1 62.3117 -51.3271 3.89122
0.1 60.9885 -52.3772 3.89331
0.1 60.5234 -53.0468 3.8972
0.1 59.748 -53.716 3.9042
0.1 58.8928 -54.4347 3.907
0.1 58.0278 -55.2045 3.91789
0.1 57.2072 -56.1744 3.92325
0.1 56.6681 -56.8577 3.9257
0.1 55.7657 -57.5243 3.92746
0.1 54.7821 -58.301 3.92023
0.1 54.2187 -59.182 3.91659
0.1 53.3057 -59.6719 3.92919
0.1 52.6057 -60.7971 3.92066
0.1 52.0598 -61.178 3.92749
0.1 51.1803 -62.0969 3.93559
0.1 50.722 -62.3323 3.93557
0.1 50.1041 -63.2817 3.9326
0.1 49.5501 -63.8029 3.93975
0.1 48.6658 -64.6901 3.9399
0.1 47.8718 -65.6113 3.92798
0.1 47.2477 -66.0278 3.93783
0.1 46.7844 -66.5579 3.94709
0.1 45.8669 -67.4167 3.9351
0.1 45.0274 -68.2475 3.92489
0.1 44.4947 -69.2483 3.93165
0.1 43.9613 -69.8393 3.92944
0.1 43.21 -70.2307 3.94299
0.1 42.5608 -70.6782 3.94446
0.1 42.1361 -71.0981 3.94697
0.1 41.0605 -72.0124 3.93347
0.1 40.355 -72.5246 3.91646
0.1 39.8692 -73.6602 3.93141
0.1 39.4403 -74.3387 3.92062
0.1 38.0589 -74.9464 3.93092
0.1 37.5412 -75.3657 3.92042
0.1 36.8971 -76.1069 3.91326
0.1 36.637 -76.627 3.91946
0.1 36.3674 -77.754 3.91106
0.1 35.4427 -78.3663 3.90962
0.1 34.8927 -79.0448 3.89931
0.1 33.778 -79.8609 3.88783
0.1 32.927 -80.4527 3.88967
0.1 32.3576 -80.8566 3.86751
0.1 31.8095 -81.1196 3.86496
0.1 30.8311 -81.5074 3.8549
0.1 30.3746 -82.2025 3.854
0.1 29.4767 -82.8306 3.84149
0.1 28.6397 -83.8504 3.82483
0.1 27.6376 -83.5827 3.81743
0.1 27.7188 -84.2762 3.82515
0.1 26.9637 -84.9743 3.81551
0.1 26.5624 -85.734 3.8035
0.1 25.9311 -86.2283 3.80213
0.1 25.0982 -86.5035 3.79254
0.1 23.9546 -87.2122 3.75941
0.1 23.2484 -87.4863 3.75317
0.1 22.67 -87.9303 3.72846
0.1 21.8511 -88.8672 3.73333
0.1 21.242 -89.3939 3.72327
0.1 20.29 -89.8056 3.70059
0.1 20.1188 -89.9383 3.70668
0.1 19.788 -89.9516 3.67375
0.1 18.8138 -90.265 3.6731
0.1 17.7233 -90.9761 3.65112
0.1 17.3677 -91.1525 3.63815
0.1 16.8683 -91.2656 3.63263
0.1 15.7424 -92.3514 3.61092
0.1 15.0722 -92.3724 3.60301
0.1 14.648 -92.8358 3.58869
0.1 13.9377 -92.9021 3.57293
0.1 13.3684 -93.4551 3.54391
0.1 12.8289 -93.5054 3.53135
0.1 12.062 -93.8785 3.50545
0.1 10.9745 -93.8237 3.47861
0.1 10.2234 -94.0735 3.46646
0.1 9.95631 -94.2913 3.44417
0.1 8.75292 -94.9111 3.41411
0.1 8.48803 -94.9888 3.41091
0.1 7.31974 -95.2148 3.39183
0.1 7.15809 -95.4978 3.37276
0.1 6.09524 -95.656 3.3528
0.1 5.38098 -95.5308 3.33385
0.1 4.39337 -95.5388 3.3051
0.1 4.29634 -95.4309 3.289
0.1 3.36618 -95.6405 3.26833
0.1 2.84564 -95.6669 3.23618
0.1 2.26523 -95.6665 3.21748
0.1 1.37477 -96.1903 3.20896
0.1 0.625517 -95.8606 3.18871
0.1 0.272406 -95.6187 3.16546
0.1 -0.775362 -95.5503 3.13887
0.1 -1.51312 -95.5513 3.12523
0.1 -2.05591 -95.8662 3.10532
0.1 -2.82267 -95.4722 3.08987
0.1 -3.26285 -95.7686 3.05404
0.1 -3.82283 -95.4296 3.04064
0.1 -4.14673 -95.3679 3.01918
0.1 -4.5719 -94.8079 3.00886
0.1 -5.55575 -94.7052 2.98405
0.1 -6.32538 -94.6154 2.97564
0.1 -7.23441 -94.7469 2.95905
0.1 -8.08014 -94.5446 2.93072
0.1 -9.05425 -94.4038 2.91549
0.1 -9.59568 -94.2011 2.90394
0.1 -10.2217 -93.7838 2.88378
0.1 -10.6715 -93.6048 2.85988
0.1 -11.4627 -93.3145 2.85453
0.1 -12.5295 -93.3827 2.83652
0.1 -13.1897 -93.3218 2.82767
0.1 -14.0963 -92.7157 2.80699
0.1 -14.3172 -92.3455 2.80075
0.1 -14.998 -92.2554 2.78046
0.1 -15.8823 -91.8034 2.76141
0.1 -16.6321 -91.7721 2.7482
0.1 -17.5132 -91.3625 2.72864
0.1 -18.2116 -91.0819 2.69844
0.1 -18.6355 -90.9081 2.67214
0.1 -19.6297 -90.4014 2.66046
0.1 -20.0789 -90.0196 2.64824
0.1 -21.0519 -89.4423 2.63083
0.1 -21.9422 -89.1595 2.60014
0.1 -22.4801 -88.4339 2.58068
0.1 -22.8549 -88.565 2.57366
0.1 -23.5379 -88.1187 2.54911
0.1 -23.9706 -87.4713 2.51755
0.1 -24.7692 -86.8381 2.49573
0.1 -25.3541 -86.1294 2.466
0.1 -26.219 -85.4531 2.44301
0.1 -26.6031 -84.8747 2.44219
0.1 -26.7768 -84.3748 2.42189
0.1 -27.6106 -83.67 2.40325
0.1 -28.1864 -83.205 2.37444
0.1 -28.8081 -82.9454 2.35951
0.1 -29.2695 -82.6242 2.34117
0.1 -29.7338 -82.4537 2.33835
0.1 -30.3448 -81.574 2.30766
0.1 -31.0358 -80.9703 2.29233
0.1 -31.5678 -80.2563 2.26708
0.1 -31.9058 -79.7716 2.24151
0.1 -32.3845 -78.7491 2.21928
0.1 -32.9101 -78.4262 2.1952
0.1 -33.4997 -78.0236 2.16957
0.1 -33.8717 -76.9777 2.13556
0.1 -34.5792 -76.0484 2.11852
0.1 -34.9091 -75.0067 2.09725
0.1 -35.0764 -74.3435 2.06992
0.1 -35.5832 -73.8858 2.05176
0.1 -35.6105 -73.0857 2.02684
0.1 -36.3615 -72.1649 2.01314
0.1 -36.4194 -71.251 1.99172
0.1 -36.4079 -70.4141 1.95664
0.1 -37.0007 -69.5235 1.93032
0.1 -37.2913 -68.7493 1.90901
0.1 -37.6546 -67.9848 1.88067
0.1 -37.9029 -67.2084 1.86461
0.1 -38.1742 -66.7363 1.8402
0.1 -38.3604 -65.6685 1.8124
0.1 -38.1428 -64.9126 1.79688
0.1 -38.2273 -64.3632 1.78846
0.1 -38.5853 -63.1435 1.77035
0.1 -39.222 -62.1425 1.7338
0.1 -39.236 -61.0824 1.72097
0.1 -38.8836 -60.6054 1.7064
0.1 -39.2212 -59.6727 1.6851
0.1 -39.1606 -59.067 1.67573
0.1 -39.4257 -57.904 1.67062
0.1 -39.331 -56.9875 1.65509
0.1 -39.1339 -56.5417 1.65007
0.1 -39.3755 -55.337 1.6156
0.1 -39.386 -54.4523 1.60503
0.1 -39.5358 -53.7433 1.6049
0.1 -39.8798 -52.7599 1.60417
0.1 -39.7567 -51.7893 1.58948
